name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"HATS-35 b",19:46:45.23,-63:33:56.34,12.6,2458604.31463000,0.00016,1.82100088000,2.8e-07,3.12,,12.3
"HATS-36 b",19:25:54.89,-23:12:10.15,14.4,2457360.39033000,8.5e-05,4.17523870000,2.2e-06,3.46,,14.0
"HATS-37 A b",13:19:12.44,-22:59:12.64,12.3,2458006.80145000,0.0005,4.33153660000,4.1e-06,2.91,,5.0
"HATS-38 b",10:17:05.05,-25:16:34.67,12.0,2458547.66936000,0.00069,4.37504200000,4e-06,3.22,,3.3
"HATS-39 b",07:29:40.61,-29:56:16.50,12.7,2457704.38304000,0.00039,4.57763350000,2.3e-06,3.73,,10.9
"HATS-3 b",20:49:49.80,-24:25:43.30,12.4,2456599.44946000,0.00013,3.54785091000,5e-07,3.59,,10.0
"HATS-40 b",06:42:17.10,-29:46:36.41,13.5,2457217.29095000,0.0004,3.26428130000,1.8e-06,5.33,,5.0
"HATS-41 b",06:54:04.17,-27:03:01.50,12.7,2458754.16506000,0.00042,4.19366230000,1.5e-06,2.20,,4.8
"HATS-42 b",07:13:48.58,-33:26:14.45,13.7,2458290.56434000,0.00033,2.29210275000,6.4e-07,3.27,,10.6
"HATS-43 b",05:22:09.18,-30:58:14.94,13.6,2458338.30607000,0.00014,4.38884920000,1e-06,2.99,,25.0
